Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
YWHAZ	BRD4	psi-mi:"MI:0428"(imaging technique)	Zippo A (2009)	pubmed:19766566
YWHAE	BRD4	psi-mi:"MI:0428"(imaging technique)	Zippo A (2009)	pubmed:19766566
BRD4	MED1	psi-mi:"MI:0004"(affinity chromatography technology)	Zippo A (2009)	pubmed:19766566
PDS5A	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
PDS5A	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
PDS5A	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
PDS5B	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
PDS5B	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
PDS5B	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
SMC3	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
SMC3	STAG1	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
SMC3	STAG2	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
SMC3	PDS5A	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
SMC3	PDS5B	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2005)	pubmed:15855230
PRKACA	HDAC8	psi-mi:"MI:0415"(enzymatic study)	Tsai SC (2002)	pubmed:12082111
STAG1	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Canudas S (2007)	pubmed:17962804
STAG1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Canudas S (2007)	pubmed:17962804
STAG2	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Canudas S (2007)	pubmed:17962804
STAG2	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Canudas S (2007)	pubmed:17962804
SMC3	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
SMC3	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
SMC3	STAG1	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
SMC3	STAG2	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
STAG1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
STAG1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
STAG1	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
STAG2	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
STAG2	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
STAG2	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Losada A (2000)	pubmed:10931856
BRD4	CHD4	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	JMJD6	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	BAIAP2	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	BAIAP2L1	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	RBM25	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	CCNT1	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	CDK9	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	BRD3	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	BRD2	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	ATAD5	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	SMARCA4	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	ZNF592	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	BRD9	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	SIRT1	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	PGAM2	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	LDHC	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
BRD4	CKM	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
JMJD6	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
CHD4	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
ATAD5	BRD4	psi-mi:"MI:0004"(affinity chromatography technology)	Rahman S (2011)	pubmed:21555454
RAD21	SMC1A	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	CDC34	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	RPL13	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	RPL10	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	WNT2B	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	HNRNPH2	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	PPP1R15B	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	PPP1R15A	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	DAPK3	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	ZNF80	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	TNFRSF14	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
RAD21	TMSB4X	psi-mi:"MI:0018"(two hybrid)	Panigrahi AK (2011)	pubmed:22145905
